,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2
0,Danny Green,58.4492,29.54384,Tim Duncan,51.12141,24.19401,Kawhi Leonard,43.1076,36.74066,LaMarcus Aldridge,38.8584,25.42675,Tony Parker,46.48304,17.72214
1,Danny Green,53.05184,30.56347,Tim Duncan,44.67323,25.15257,Kawhi Leonard,39.22594,37.9303,LaMarcus Aldridge,33.56653,24.95157,Tony Parker,44.1667,17.24666
2,Danny Green,47.79977,32.06525,Tim Duncan,38.55145,26.09925,Kawhi Leonard,35.27366,39.12214,LaMarcus Aldridge,28.4568,24.637,Tony Parker,41.82933,16.52996
3,Danny Green,42.75939,33.91134,Tim Duncan,32.71615,26.84195,Kawhi Leonard,31.25963,39.83022,LaMarcus Aldridge,23.7568,24.5125,Tony Parker,39.46384,15.72086
4,Danny Green,38.26866,35.83065,Tim Duncan,27.24907,27.34258,Kawhi Leonard,27.31316,40.31984,LaMarcus Aldridge,19.65434,24.49851,Tony Parker,37.20116,15.16698
5,Danny Green,34.29147,37.57917,Tim Duncan,22.47311,27.5482,Kawhi Leonard,23.76516,40.78709,LaMarcus Aldridge,16.32963,24.55538,Tony Parker,35.00992,14.70695
6,Danny Green,31.2523,38.71225,Tim Duncan,18.56181,27.11329,Kawhi Leonard,20.35227,40.58894,LaMarcus Aldridge,13.72603,24.56784,Tony Parker,32.89514,13.9699
7,Danny Green,28.87129,39.26212,Tim Duncan,15.88427,26.1953,Kawhi Leonard,17.67383,40.9842,LaMarcus Aldridge,11.80026,24.43139,Tony Parker,31.03113,12.91333
8,Danny Green,26.85693,39.7869,Tim Duncan,14.57907,25.13338,Kawhi Leonard,15.62563,42.17866,LaMarcus Aldridge,10.66353,23.97914,Tony Parker,29.29705,12.04459
9,Danny Green,25.38423,40.70334,Tim Duncan,14.17388,23.79199,Kawhi Leonard,13.37188,42.46346,LaMarcus Aldridge,10.36933,23.33942,Tony Parker,27.61393,11.16713
10,Danny Green,24.01265,41.50411,Tim Duncan,14.21883,22.60823,Kawhi Leonard,11.44986,42.83936,LaMarcus Aldridge,10.59517,22.51004,Tony Parker,26.07743,10.17518
11,Danny Green,22.4742,42.2616,Tim Duncan,14.1702,21.92448,Kawhi Leonard,9.77582,43.47799,LaMarcus Aldridge,10.51239,22.3694,Tony Parker,24.76573,9.20636
12,Danny Green,21.15547,43.39704,Tim Duncan,14.30366,21.384,Kawhi Leonard,8.02427,43.68117,LaMarcus Aldridge,10.15806,22.89342,Tony Parker,23.45776,8.26822
