,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2
0,Danny Green,88.04935,24.64811,Tim Duncan,45.11475,28.9569,Kawhi Leonard,67.01298,4.69411,LaMarcus Aldridge,74.63412,21.42306,Tony Parker,64.62621,45.62843
1,Danny Green,86.8688,29.19687,Tim Duncan,40.81034,29.468190000000003,Kawhi Leonard,64.49476999999999,4.40594,LaMarcus Aldridge,70.79524,21.17783,Tony Parker,60.30432,45.60008
2,Danny Green,85.35501,33.61396,Tim Duncan,36.44269,30.08952,Kawhi Leonard,61.46725,4.06957,LaMarcus Aldridge,66.56738,20.98114,Tony Parker,55.94236,45.75138
3,Danny Green,83.06995,38.141490000000005,Tim Duncan,32.169290000000004,30.81515,Kawhi Leonard,58.077290000000005,3.73836,LaMarcus Aldridge,61.98711,20.89346,Tony Parker,51.43292,45.78743
4,Danny Green,80.13689000000001,42.33847,Tim Duncan,28.01218,31.48708,Kawhi Leonard,54.41897,3.44572,LaMarcus Aldridge,57.231190000000005,20.97913,Tony Parker,46.97202,46.0095
5,Danny Green,76.43203000000001,45.35803,Tim Duncan,24.02191,32.11193,Kawhi Leonard,50.55556,3.21171,LaMarcus Aldridge,52.40316,21.12657,Tony Parker,42.48335,46.19326
6,Danny Green,72.06197,46.91574,Tim Duncan,20.22543,32.70596,Kawhi Leonard,46.6051,3.28082,LaMarcus Aldridge,47.51132,21.34177,Tony Parker,38.06837,46.13329
7,Danny Green,67.50798,47.43083,Tim Duncan,16.80284,32.96713,Kawhi Leonard,42.60357,3.37862,LaMarcus Aldridge,42.55365,21.50728,Tony Parker,34.03492,46.04666
8,Danny Green,62.9095,47.07567,Tim Duncan,13.93095,32.87834,Kawhi Leonard,38.51061,3.83897,LaMarcus Aldridge,37.644,21.85616,Tony Parker,30.445870000000003,45.96117
9,Danny Green,58.22337,46.71378,Tim Duncan,11.69901,32.75613,Kawhi Leonard,34.50742,4.66702,LaMarcus Aldridge,32.71713,22.11067,Tony Parker,27.41763,45.78186
10,Danny Green,53.52723,46.39888,Tim Duncan,10.14804,32.85228,Kawhi Leonard,30.5761,5.64803,LaMarcus Aldridge,27.95798,22.28622,Tony Parker,25.2058,45.44573
11,Danny Green,48.70001,45.7267,Tim Duncan,9.09376,32.810390000000005,Kawhi Leonard,26.88357,7.1313,LaMarcus Aldridge,23.47653,22.44619,Tony Parker,23.47461,44.88793
12,Danny Green,44.03575,44.34927,Tim Duncan,8.521519999999999,32.79855,Kawhi Leonard,23.61569,8.92234,LaMarcus Aldridge,19.48988,22.27991,Tony Parker,22.01815,44.32208
13,Danny Green,39.83142,42.60964,Tim Duncan,8.1733,32.47693,Kawhi Leonard,21.13285,11.05373,LaMarcus Aldridge,16.06543,21.97001,Tony Parker,20.84717,43.726490000000005
14,Danny Green,36.34263,40.87617,Tim Duncan,8.01286,31.74792,Kawhi Leonard,19.51164,13.17624,LaMarcus Aldridge,13.4976,21.47438,Tony Parker,20.00392,43.05768
15,Danny Green,33.65853,39.111340000000006,Tim Duncan,8.8548,30.35496,Kawhi Leonard,18.79853,14.88409,LaMarcus Aldridge,12.117,20.87235,Tony Parker,19.55041,42.49372
16,Danny Green,31.50971,37.71349,Tim Duncan,10.34195,28.579590000000003,Kawhi Leonard,19.13697,16.437479999999997,LaMarcus Aldridge,11.23708,20.37954,Tony Parker,19.74469,42.23729
17,Danny Green,30.03125,36.47639,Tim Duncan,11.75398,27.91335,Kawhi Leonard,20.16179,17.32657,LaMarcus Aldridge,10.49849,19.83391,Tony Parker,20.4254,42.36914
18,Danny Green,28.95452,35.27616,Tim Duncan,13.0871,28.37546,Kawhi Leonard,21.55579,17.01399,LaMarcus Aldridge,9.73155,19.5445,Tony Parker,21.1305,42.42931
19,Danny Green,28.124540000000003,34.14025,Tim Duncan,14.29249,28.94646,Kawhi Leonard,23.1463,16.32018,LaMarcus Aldridge,9.11922,19.25867,Tony Parker,21.60588,42.20345
20,Danny Green,27.13038,32.78049,Tim Duncan,15.13993,29.36418,Kawhi Leonard,24.74583,15.74335,LaMarcus Aldridge,9.07247,18.92554,Tony Parker,21.96415,42.01621
21,Danny Green,25.5154,31.17671,Tim Duncan,15.59699,29.449890000000003,Kawhi Leonard,25.8899,15.36311,LaMarcus Aldridge,9.2775,19.06439,Tony Parker,22.21433,42.19435
22,Danny Green,23.41676,29.95372,Tim Duncan,16.06352,29.48769,Kawhi Leonard,26.12664,15.4331,LaMarcus Aldridge,9.20893,19.26887,Tony Parker,22.48811,42.32479
23,Danny Green,21.16628,29.13673,Tim Duncan,16.38263,29.80019,Kawhi Leonard,25.13361,15.83067,LaMarcus Aldridge,8.7184,19.68093,Tony Parker,22.76618,42.11861
24,Danny Green,19.125120000000003,28.552570000000003,Tim Duncan,16.152910000000002,30.60271,Kawhi Leonard,23.83244,16.517220000000002,LaMarcus Aldridge,8.00724,20.10993,Tony Parker,22.69785,41.86929
25,Danny Green,17.67817,28.1459,Tim Duncan,15.40115,30.85356,Kawhi Leonard,22.85688,17.16271,LaMarcus Aldridge,7.14515,20.1536,Tony Parker,22.84352,41.866040000000005
26,Danny Green,16.90042,28.08994,Tim Duncan,14.37925,30.49921,Kawhi Leonard,22.07175,17.31343,LaMarcus Aldridge,6.37641,20.45285,Tony Parker,23.118270000000003,42.086000000000006
27,Danny Green,16.8404,28.47145,Tim Duncan,14.13009,29.59207,Kawhi Leonard,21.49811,17.17059,LaMarcus Aldridge,6.00714,21.11759,Tony Parker,22.30658,42.51513
