,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2
0,Danny Green,59.24976,40.33047,Tim Duncan,8.42271,19.96307,Kawhi Leonard,88.43597,27.93975,LaMarcus Aldridge,73.7047,30.09308,Tony Parker,80.80422,2.08697
1,Danny Green,56.15306999999999,39.73276,Tim Duncan,7.251530000000002,19.82593,Kawhi Leonard,85.52821,26.41266,LaMarcus Aldridge,69.85956,29.890940000000004,Tony Parker,80.9299,1.90499
2,Danny Green,52.42949,38.80388,Tim Duncan,6.09091,19.645670000000006,Kawhi Leonard,81.60984,24.93462,LaMarcus Aldridge,65.76983,29.55396,Tony Parker,80.18979,1.95889
3,Danny Green,48.36362,37.60912,Tim Duncan,5.09521,19.30982,Kawhi Leonard,75.9181,23.78938,LaMarcus Aldridge,61.42005,29.46201,Tony Parker,78.33699,2.27933
4,Danny Green,44.15406,36.53711,Tim Duncan,4.0625800000000005,19.1172,Kawhi Leonard,69.20345,21.39711,LaMarcus Aldridge,56.81799,29.40882,Tony Parker,75.96812,2.38215
5,Danny Green,39.62723,35.58063,Tim Duncan,3.30987,19.00776,Kawhi Leonard,62.42004,17.4662,LaMarcus Aldridge,51.98482,29.66226,Tony Parker,72.93651,2.59801
6,Danny Green,35.10282,34.87748,Tim Duncan,3.2072,18.9055,Kawhi Leonard,56.19581,13.396020000000002,LaMarcus Aldridge,46.95465,29.77663,Tony Parker,69.04813,3.1328
7,Danny Green,30.39309,34.18888,Tim Duncan,3.3319300000000003,18.59233,Kawhi Leonard,49.68511,9.99706,LaMarcus Aldridge,41.79752,29.73677,Tony Parker,64.79298,3.83899
8,Danny Green,26.02982,33.682179999999995,Tim Duncan,3.23616,17.94535,Kawhi Leonard,42.70596,7.841310000000001,LaMarcus Aldridge,36.51383,29.2727,Tony Parker,59.98479,5.16985
9,Danny Green,21.75533,32.90632,Tim Duncan,3.44224,17.65425,Kawhi Leonard,35.87075,6.9302100000000015,LaMarcus Aldridge,31.61468,28.911690000000004,Tony Parker,54.85135,6.8732
10,Danny Green,17.58417,31.849590000000006,Tim Duncan,4.02625,17.543110000000002,Kawhi Leonard,29.2208,6.815239999999998,LaMarcus Aldridge,26.66825,28.40199,Tony Parker,49.5602,8.99685
11,Danny Green,14.01216,30.90641,Tim Duncan,4.61025,17.43198,Kawhi Leonard,23.0063,7.07365,LaMarcus Aldridge,21.01572,26.55253,Tony Parker,44.34619,11.36618
12,Danny Green,10.98911,30.282590000000006,Tim Duncan,6.1864300000000005,17.85374,Kawhi Leonard,17.51289,7.92497,LaMarcus Aldridge,16.26229,24.79392,Tony Parker,39.22003,13.54872
13,Danny Green,8.54975,29.86492,Tim Duncan,8.54168,19.4097,Kawhi Leonard,12.74791,9.16759,LaMarcus Aldridge,12.87878,23.8479,Tony Parker,34.29827,15.46783
